kepid,error
10288922,"KIC 10288922: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr010288922_lc_Q011111101110111011\kplr010288922-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
8429450,"KIC 8429450: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr008429450_lc_Q111111111111111111\kplr008429450-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
8848115,"KIC 8848115: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr008848115_lc_Q000000000000001111\kplr008848115-2012277125453_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5025294,"KIC 5025294: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005025294_lc_Q011111011101110111\kplr005025294-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4917014,"KIC 4917014: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004917014_lc_Q111111111111111111\kplr004917014-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
3230206,"KIC 3230206: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr003230206_lc_Q011111111111111111\kplr003230206-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5470960,"KIC 5470960: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005470960_lc_Q001111111111111111\kplr005470960-2009259160929_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5474733,"KIC 5474733: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005474733_lc_Q011111111111111111\kplr005474733-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4150539,"KIC 4150539: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004150539_lc_Q011111111111111111\kplr004150539-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
12004680,"KIC 12004680: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr012004680_lc_Q011111110111011101\kplr012004680-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
10290447,"KIC 10290447: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr010290447_lc_Q000110001000100010\kplr010290447-2009350155506_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
9906802,"KIC 9906802: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr009906802_lc_Q011111101110111011\kplr009906802-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
7936194,"KIC 7936194: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr007936194_lc_Q111111111111111111\kplr007936194-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4464689,"KIC 4464689: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004464689_lc_Q111111111111111111\kplr004464689-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6032981,"KIC 6032981: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006032981_lc_Q111111111111111111\kplr006032981-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6877871,"KIC 6877871: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006877871_lc_Q011111111111111111\kplr006877871-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6437226,"KIC 6437226: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006437226_lc_Q011111111111111111\kplr006437226-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
10140843,"KIC 10140843: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr010140843_lc_Q111111111111111111\kplr010140843-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6032920,"KIC 6032920: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006032920_lc_Q011111111111111111\kplr006032920-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
8007262,"KIC 8007262: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr008007262_lc_Q111111111111111111\kplr008007262-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5091808,"KIC 5091808: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005091808_lc_Q011111111111111111\kplr005091808-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
9851983,"KIC 9851983: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr009851983_lc_Q111111101110111011\kplr009851983-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
