transit_depth,transit_duration_hrs,ingress_duration_hrs,egress_duration_hrs,ingress_egress_ratio,depth_duration_ratio,odd_even_depth_diff,secondary_eclipse_depth,snr,flat_bottom_fraction,secondary_eclipse_significance,odd_even_depth_significance,transit_symmetry_score,out_of_transit_variability,transit_count,stellar_density_proxy,depth_consistency_across_transits,kepid,koi_period,koi_prad,true_class
0.00014664,127.4056,29.5044,91.8661,0.321168,1.15e-06,1.023506,6.537e-05,0.5357,0.0,0.445797,1.66721,0.0,0.00027375,6,0.209137,nan,11655826,5.593464,1.43,Transit
0.01854605,2.6751,3.2101,0.535,6.0,0.00693279,0.527775,0.00164629,28.008,0.25,0.088768,19.638668,0.0,0.00066217,22,14393.358808,0.431502,5652260,4.464565,43.21,Eclipsing Binary
0.00024115,133.8855,0.7316,104.6209,0.006993,1.8e-06,0.776078,0.00018459,2.2789,0.25,0.765459,1.777365,0.0,0.00010582,16,0.214157,1.338305,4455231,6.097472,2.22,Transit
0.0,116.3176,2.3264,2.3264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00557089,0,3.30827,nan,10753734,19.406694,57.97,Eclipsing Binary
0.00452001,92.6089,80.1573,46.3044,1.731092,4.881e-05,0.308112,0.00776245,2.5247,0.0,1.717352,1.250062,0.0,0.00179033,3,0.733253,0.154056,7125636,6.490662,33.46,Eclipsing Binary
0.23201316,1.3803,0.4601,0.3451,1.333333,0.16809452,0.027905,0.03349063,23.4665,0.166667,0.144348,1.112371,0.000149,0.009887,36,4833.670321,0.166153,5269407,0.958871,45.91,Eclipsing Binary
0.0017008,28.3789,0.2852,0.1426,2.0,5.993e-05,0.646377,0.00132156,3.698,0.2,0.777019,2.411947,1e-06,0.00045992,29,0.858033,0.870784,3550434,1.191049,22.76,Eclipsing Binary
0.0,4722.3298,96.3741,4577.7687,0.021053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010516,0,0.005293,nan,6527229,200.79976,48.77,Eclipsing Binary
0.00044087,34.1262,0.6965,0.6965,1.0,1.292e-05,0.15573,0.00024145,3.263,0.428571,0.547661,0.276194,0.0,0.00013511,13,2.942343,1.420187,3834360,2.908454,19.44,Eclipsing Binary
2.426e-05,894.6483,885.5656,4.5414,195.0,3e-08,0.0,0.0,0.2352,0.0,0.0,0.0,0.0,0.00010313,1,0.027679,nan,9846086,37.865119,40.36,Eclipsing Binary
0.05044175,1.4601,0.3245,0.1622,2.0,0.03454757,0.063102,0.02052372,5.1883,0.285714,0.40688,0.340057,0.001012,0.00972222,26,8134.851461,0.585466,10292465,1.353371,26.69,Eclipsing Binary
0.00032298,317.5672,189.2572,112.2712,1.685714,1.02e-06,0.028482,0.00016201,2.0323,1.0,0.501613,0.042637,0.0,0.00015892,3,0.077217,0.014241,6500206,13.374996,2.01,Eclipsing Binary
0.00090638,0.5355,0.5355,0.5355,1.0,0.0016927,1.117954,0.00015534,3.76,1.0,0.17138,2.434269,0.0,0.00024106,8,1797854.40561,2.344934,10092312,4.468457,24.81,Eclipsing Binary
0.00096219,2.1067,0.3241,0.4051,0.8,0.00045673,0.06888,0.00032366,8.3434,0.043478,0.336379,0.89323,0.0,0.00011532,51,679.194689,0.331985,10095484,0.677761,22.15,Eclipsing Binary
0.01669677,103.823,0.5217,0.5217,1.0,0.00016082,0.003256,0.01068451,2.5341,0.333333,0.639915,0.006161,7.6e-05,0.00658879,8,0.233749,0.310218,9002237,4.350088,24.77,Eclipsing Binary
0.00196357,169.7169,2.0204,1.0102,2.0,1.157e-05,0.0,0.0010724,3.9736,0.5,0.546149,0.0,0.0,0.00049416,3,0.200871,nan,11599264,8.42809,517.43,Eclipsing Binary
0.00213288,0.6107,0.3053,0.2036,1.5,0.00349268,0.051023,0.00015836,11.7568,0.214286,0.074245,1.06877,1e-06,0.00018142,41,43701.537807,0.248281,6365321,0.848484,32.11,Eclipsing Binary
0.00152191,21.5608,0.325,10.2928,0.031579,7.059e-05,0.011056,0.0012872,5.7992,0.214286,0.845774,0.096044,0.0,0.00026243,38,1.126095,0.283643,7812455,0.903583,33.18,Eclipsing Binary
0.00127826,1.1686,0.4382,0.7304,0.6,0.00109386,0.076338,0.00030377,7.2177,0.214286,0.23764,0.809952,0.0,0.0001771,28,12873.198485,0.507419,9366989,1.219034,9.82,Eclipsing Binary
0.00625788,74.3385,0.7471,35.8618,0.020833,8.418e-05,0.063822,0.00514816,9.7381,0.333333,0.822669,0.398185,1.8e-05,0.00064262,10,0.326957,0.088078,10960993,3.117088,88.51,Eclipsing Binary
0.0001149,18.6578,8.8379,0.1091,81.0,6.16e-06,0.843285,8.632e-05,2.5713,0.05,0.751265,1.151475,0.0,4.469e-05,12,1.795284,0.78579,9083564,0.918421,1.14,Eclipsing Binary
0.00242865,1.9641,3.9282,1.9641,2.0,0.00123653,0.0,0.00019059,11.0786,0.5,0.078477,0.0,0.0,0.00021922,4,489041.093019,nan,8256044,16.371884,70.73,Eclipsing Binary
0.00018474,799.2999,231.9212,393.4378,0.589474,2.3e-07,0.0,0.00032693,1.6868,0.0,1.769699,0.0,0.0,0.00010952,1,0.03227,nan,6960487,34.52599,54.35,Eclipsing Binary
0.38161352,2.0208,0.5389,0.5389,1.0,0.18884389,0.0216,0.08997369,14.379,0.15625,0.235772,0.61976,0.001112,0.02653958,68,2113.639174,0.117032,9343862,1.123259,150.94,Eclipsing Binary
0.0034139,22.4805,22.3658,0.1147,195.0,0.00015186,0.288171,0.00371386,2.0255,0.263158,1.087865,0.241411,0.0,0.00168545,12,1.116992,1.86658,2583777,0.958117,49.16,Eclipsing Binary
0.00052574,57.1888,10.9978,13.1974,0.833333,9.19e-06,0.446169,0.0,1.6824,0.285714,0.0,0.246131,0.0,0.00031249,3,2.774135,1.129035,5172274,6.126509,9.08,Eclipsing Binary
0.00943393,1.5979,0.5326,0.5326,1.0,0.00590397,0.608627,0.0,4.5559,1.0,0.0,2.165923,0.0,0.00207072,8,66872.089649,0.492294,4912991,4.442517,26.08,Eclipsing Binary
0.01768376,8.5737,8.1323,0.6256,13.0,0.00206255,0.0,0.0,10.9841,0.5,0.0,0.0,0.0,0.00160995,3,600.757192,nan,7257373,5.23345,70.33,Eclipsing Binary
0.01331012,80.9216,38.6309,38.6309,1.0,0.00016448,0.774688,0.01219749,7.8363,0.333333,0.916407,5.569815,0.0,0.00169852,26,0.309202,0.414444,12022517,3.442715,47.02,Eclipsing Binary
0.0005594,329.3404,4.5742,4.5742,1.0,1.7e-06,0.064827,7.247e-05,3.3299,0.5,0.129547,0.283823,0.0,0.00016799,2,0.562894,0.032414,4449034,38.138531,68.75,Eclipsing Binary
0.00077867,420.4236,8.7588,297.8,0.029412,1.85e-06,0.0,0.0,1.7376,0.0,0.0,0.0,0.0,0.00044814,1,0.248028,nan,3757778,36.514374,33.27,Eclipsing Binary
0.00132978,2.0254,2.0254,0.5787,3.5,0.00065655,0.149735,9.499e-05,16.7021,0.166667,0.07143,3.371082,0.0,7.962e-05,33,9677.082118,0.316223,7599004,2.411724,50.53,Eclipsing Binary
0.0010406,148.9184,3.5457,143.5999,0.024691,6.99e-06,0.039019,3.133e-05,4.6331,0.0,0.030104,0.422766,0.0,0.0002246,7,0.914181,0.15216,11093538,14.778209,44.48,Eclipsing Binary
0.00974112,1.2766,0.6383,0.6383,1.0,0.00763051,0.028734,0.00036825,4.703,0.375,0.037804,0.162529,3e-06,0.00207125,13,47260.890993,0.097431,3766353,2.666962,40.68,Eclipsing Binary
0.00056455,206.6695,2.7193,1.3597,2.0,2.73e-06,0.236882,0.00014053,5.2976,0.25,0.248931,0.749248,0.0,0.00010657,4,0.201542,0.22777,8621348,11.344368,17.21,Eclipsing Binary
0.00120883,40.6687,20.3343,39.058,0.520619,2.972e-05,0.264609,0.00159373,5.3187,0.0,1.318413,0.964697,0.0,0.00022728,3,2.319508,0.132305,9278021,3.359471,129.93,Eclipsing Binary
0.00018242,52.0545,15.1383,36.385,0.416058,3.5e-06,0.321938,0.00022578,1.8645,0.125,1.237651,0.456086,0.0,9.784e-05,16,0.480398,1.432266,7097534,2.213967,0.84,Eclipsing Binary
0.0,684.4035,342.2018,680.9294,0.502551,0.0,0.0,0.0006197,0.0,0.0,619703.247699,0.0,0.0,5.728e-05,0,0.038152,nan,6307537,29.744547,20.06,Eclipsing Binary
0.03119556,4.5452,4.5452,0.606,7.5,0.00686334,0.159701,0.0018586,16.218,0.333333,0.059579,3.346222,0.0,0.00192352,14,945.864677,0.109581,8736245,2.534741,52.52,Eclipsing Binary
0.1102777,2.4457,0.7723,0.7723,1.0,0.04509041,0.032224,0.02594021,13.8539,0.16129,0.235226,0.693854,0.000138,0.00796005,32,1087.850827,0.039408,10616829,1.072934,81.42,Eclipsing Binary
0.00087867,1.6556,0.6368,0.1274,5.0,0.00053072,0.407335,0.00043638,4.1757,0.192308,0.496645,1.866515,0.0,0.00021042,33,3435.255377,1.096698,8487748,1.061934,15.14,Eclipsing Binary
0.02057576,99.3905,75.3193,0.7765,97.0,0.00020702,0.974587,0.01876248,4.7301,0.5,0.911873,2.973433,0.0,0.00434994,4,0.590163,0.772355,9714358,6.474202,28.96,Eclipsing Binary
0.00185303,1.3233,0.4411,0.6617,0.666667,0.00140028,0.036242,0.00066502,8.87,0.25,0.358882,0.71504,0.0,0.00020891,48,20163.396242,0.434587,2309585,1.838515,4.86,Eclipsing Binary
0.00056267,16.2246,3.508,9.1209,0.384615,3.468e-05,0.070818,0.0005207,2.9481,0.029412,0.925412,0.235183,0.0,0.00019086,120,1.729334,8.386119,3228945,0.730943,1.37,Eclipsing Binary
0.0,771.1831,445.8402,297.2268,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015877,0,0.617383,nan,10292238,143.118869,53.3,Eclipsing Binary
0.00047189,785.5376,344.4603,260.4456,1.322581,6e-07,0.0,0.0,1.1496,0.0,0.0,0.0,0.0,0.0004105,0,0.034989,nan,9024857,35.026565,34.88,Eclipsing Binary
0.00155756,3.8112,1.2704,1.0163,1.25,0.00040868,0.009547,0.0002357,12.0373,0.1875,0.151323,0.120394,0.0,0.00012939,17,1121.332736,0.206378,5020044,2.1191,34.34,Eclipsing Binary
0.01303154,22.2875,10.6398,10.6398,1.0,0.0005847,0.010227,0.01207293,6.0097,0.333333,0.926439,0.193942,6e-06,0.00216842,102,1.088095,0.238261,5636642,0.933489,48.01,Eclipsing Binary
0.00594182,0.3776,0.7553,2.2658,0.333333,0.01573468,0.447377,0.00222702,11.7001,0.333333,0.374803,3.329971,0.0,0.00050784,4,2751221.988684,0.230652,10657664,3.273699,22.36,Eclipsing Binary
0.00037664,20.2151,2.3269,10.4711,0.222222,1.863e-05,0.042035,0.00030472,2.5757,0.0625,0.809066,0.064305,0.0,0.00014623,28,2.474757,0.888717,5647638,1.216079,1.92,Eclipsing Binary
0.00048248,575.7769,199.1877,255.2092,0.780488,8.4e-07,0.541044,0.00037357,3.1581,0.25,0.774271,0.517873,0.0,0.00015278,2,0.048793,0.270522,3859151,25.95633,9.75,Eclipsing Binary
0.00130109,0.548,0.1827,0.3653,0.5,0.00237426,1.636591,0.00054161,3.9298,0.1875,0.416273,7.55226,0.0,0.00033108,40,48663.674232,3.246252,4150611,0.76112,27.81,Eclipsing Binary
0.00464671,1.3499,0.675,0.45,1.5,0.00344225,1.09383,0.00026295,31.5028,0.045455,0.056589,6.523609,1e-06,0.0001475,17,19756.632513,2.334776,4758368,1.874968,378.99,Eclipsing Binary
0.0,787.2482,281.1601,481.9887,0.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.403e-05,0,1.800416,nan,5779852,252.079235,41.07,Eclipsing Binary
0.0,795.2786,731.0137,397.6393,1.838384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024113,0,0.086337,nan,10798605,56.048097,42.62,Eclipsing Binary
0.29455133,3.2826,0.9056,0.9056,1.0,0.08972994,0.024803,0.01244206,161.2461,0.046875,0.042241,5.285152,3.4e-05,0.00182672,37,348.216319,0.096507,9912977,0.943937,88.91,Eclipsing Binary
0.0004789,13.2513,1.0986,5.4928,0.2,3.614e-05,0.513345,0.00043599,2.4867,0.111111,0.910413,0.453596,0.0,0.00019258,18,1.955444,3.625364,7335713,0.573709,7.05,Blend
0.02612509,1.1736,0.4694,0.2347,2.0,0.02226131,0.061623,0.0,8.4223,0.3,0.0,0.694856,4e-06,0.00310188,19,32749.925524,0.421332,7377033,1.956811,21.58,Eclipsing Binary
0.00012771,157.7939,60.8748,92.9142,0.655172,8.1e-07,0.430445,0.00011094,0.8566,0.0,0.86866,0.528815,0.0,0.00014909,14,0.15678,4.044314,5736801,6.675187,1.09,Blend
0.00190468,3.2128,1.0709,1.0709,1.0,0.00059284,0.019636,0.00018119,28.6703,0.1,0.095127,1.086475,0.0,6.643e-05,53,1328.596223,0.175758,6148271,1.785265,41.19,Blend
9.472e-05,50.0599,9.0055,40.5247,0.222222,1.89e-06,0.629683,9.109e-05,1.1713,0.0,0.96164,0.508652,0.0,8.087e-05,6,0.541624,0.93826,2576224,2.21701,1.16,Blend
0.17003772,2.194,0.6582,0.5851,1.125,0.07750115,0.192655,0.01827123,37.661,0.06,0.107454,7.750401,5.4e-05,0.00451495,17,486.520555,0.135084,9592855,0.609662,110.14,Blend
0.00069789,22.8011,11.2251,1.7539,6.4,3.061e-05,0.105378,0.00016043,2.6175,0.263158,0.229881,0.102429,0.0,0.00026662,4,10.006684,0.40679,12062667,2.929282,38.42,Blend
0.00037091,1040.3219,239.6553,702.6258,0.341085,3.6e-07,0.549701,0.0,0.5821,0.0,0.0,0.678988,0.0,0.0006372,3,0.025303,0.295938,8625813,45.396538,1.97,Blend
0.00256625,2.4699,1.482,0.988,1.5,0.001039,0.021144,0.00062254,10.7848,0.25,0.242589,0.402769,1e-06,0.00023795,23,15563.741282,0.228153,9040849,4.118776,4.48,Blend
0.0,2144.565,484.9519,1605.7296,0.302013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020522,0,0.108144,nan,3545749,277.77499,2.48,Blend
