kepid,error
3966801,"KIC 3966801: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr003966801_lc_Q011111011101110111\kplr003966801-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4736569,"KIC 4736569: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004736569_lc_Q000011111111111111\kplr004736569-2010078095331_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
11720424,"KIC 11720424: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr011720424_lc_Q011111111111111111\kplr011720424-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4142847,"KIC 4142847: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004142847_lc_Q011111111111111111\kplr004142847-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4762283,"KIC 4762283: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004762283_lc_Q011111011101110111\kplr004762283-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
11442793,KIC 11442793: download error: ValueError: I/O operation on closed file.
8630788,"KIC 8630788: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr008630788_lc_Q011111111111111111\kplr008630788-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4252322,"KIC 4252322: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004252322_lc_Q011111111111111111\kplr004252322-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
6185476,"KIC 6185476: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr006185476_lc_Q011110111011101110\kplr006185476-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
7690844,KIC 7690844: download error: ValueError: I/O operation on closed file.
7603200,KIC 7603200: download error: ValueError: I/O operation on closed file.
8490993,KIC 8490993: download error: ValueError: I/O operation on closed file.
10864656,KIC 10864656: download error: ValueError: I/O operation on closed file.
10924400,"KIC 10924400: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr010924400_lc_Q111111111111111111\kplr010924400-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5802285,"KIC 5802285: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005802285_lc_Q011111011101110111\kplr005802285-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
4950557,"KIC 4950557: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr004950557_lc_Q111111111111111111\kplr004950557-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
9284741,"KIC 9284741: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr009284741_lc_Q011111111111111111\kplr009284741-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
11198723,"KIC 11198723: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr011198723_lc_Q011111111111111111\kplr011198723-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
10288922,"KIC 10288922: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr010288922_lc_Q011111101110111011\kplr010288922-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
8429450,"KIC 8429450: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr008429450_lc_Q111111111111111111\kplr008429450-2009131105131_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
8848115,"KIC 8848115: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr008848115_lc_Q000000000000001111\kplr008848115-2012277125453_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
5025294,"KIC 5025294: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr005025294_lc_Q011111011101110111\kplr005025294-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
10979716,"KIC 10979716: download error: LightkurveError: Error in reading Data product C:\Users\ANJLI\.cache\lightkurve\mastDownload\Kepler\kplr010979716_lc_Q011111111111111111\kplr010979716-2009166043257_llc.fits of type KeplerLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
