kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
5792202,CONFIRMED,15.33528675,174.00278,3.897,3081.4,5.0,86.6,0,0,0,0
10875245,CONFIRMED,7.95825328,137.80219,4.377,50.0,1.06,14.7,0,0,0,0
5792202,CONFIRMED,31.33046135,153.43031,5.176,5073.8,6.5,117.2,0,0,0,0
5370302,FALSE POSITIVE,3.9043425,173.393734,3.831,16228.4,12.28,323.4,0,1,0,0
5372966,FALSE POSITIVE,9.286358079,171.8214689,3.49949,44791.4,17.61,1671.1,0,1,0,0
5376067,FALSE POSITIVE,3.951405455,173.276125,2.1862,2453.9,31.44,117.2,0,1,0,0
5436502,CONFIRMED,23.65369415,171.376107,8.2183,3341.8,7.89,266.3,0,0,0,0
5436502,CONFIRMED,13.23352214,140.32196,6.7372,504.6,3.06,49.1,0,0,0,0
5436502,CONFIRMED,6.15560285,134.81656,4.9843,285.0,2.32,35.1,0,0,0,0
5436502,CONFIRMED,2.090811305,134.17462,3.388,115.9,1.62,19.9,0,0,0,0
10875245,CONFIRMED,3.180027898,133.49863,3.5797,120.3,1.53,50.4,0,0,0,0
5436502,CONFIRMED,50.4467417,178.5014,7.159,370.3,2.67,19.4,0,0,0,0
5456651,CONFIRMED,11.76307164,180.93613,2.9076,1037.3,2.35,48.9,0,0,0,0
5456651,CONFIRMED,56.2279271,132.29259,3.57,862.7,2.37,20.9,0,0,0,0
5481416,FALSE POSITIVE,2.384052875,171.58362,3.0918,1268.1,17.06,50.5,0,1,1,1
5531576,CONFIRMED,7.953547,174.66224,2.6312,875.4,2.25,38.4,0,0,0,0
5531576,CONFIRMED,4.14451656,135.92831,2.3421,391.8,1.48,22.8,0,0,0,0
5534814,FALSE POSITIVE,4.859386384,173.011469,2.2757,6044.3,38.33,269.7,0,1,0,0
6291653,CONFIRMED,10.526294577,176.522462,2.5211,9768.0,8.24,482.3,0,0,0,0
6392727,CONFIRMED,4.583520948,169.973972,2.7055,3812.1,5.39,99.5,0,0,0,0
6422070,CONFIRMED,3.76181843,171.90364,3.5176,510.6,2.66,35.9,0,0,0,0
6428700,CONFIRMED,8.20396958,169.69138,2.9667,1024.4,3.01,54.4,0,0,0,0
6428700,CONFIRMED,14.49645186,143.41659,4.016,647.5,3.01,25.7,0,0,0,0
5792202,CONFIRMED,6.54626149,133.85964,2.75,655.9,2.19,24.8,0,0,0,0
5794379,CONFIRMED,12.71809866,175.35526,3.0957,1149.4,2.31,52.7,0,0,0,0
5794379,CONFIRMED,36.06588163,198.58423,4.3246,1563.8,2.64,51.7,0,0,0,0
5881688,CONFIRMED,4.190425659,171.44122,2.8589,2877.4,6.21,240.6,0,0,0,0
6022556,CONFIRMED,3.709870784,171.987982,3.0694,2020.3,4.35,116.1,0,0,0,0
6032497,CONFIRMED,16.3297527,177.29506,6.271,1187.5,3.75,74.6,0,0,0,0
6061119,CONFIRMED,27.807566216,186.713552,4.21587,25391.1,13.84,748.1,0,0,0,0
6191521,CONFIRMED,80.8723469,203.895,11.195,3604.6,7.59,160.9,0,0,0,0
6267425,FALSE POSITIVE,3.166465862,172.002627,2.9381,4357.2,26.82,122.1,0,1,1,0
3531558,CONFIRMED,24.99324319,138.68167,5.9409,269.6,2.29,62.0,0,0,0,0
6276477,CONFIRMED,10.35533116,170.93729,3.1775,750.6,2.47,49.2,0,0,0,0
6863998,CONFIRMED,16.08518937,180.28319,3.984,1442.4,3.68,62.6,0,0,0,0
6867155,CANDIDATE,235.9986399,208.399822,8.2284,20714.6,10.59,271.8,0,0,0,0
6948054,CONFIRMED,7.49018305,174.95037,2.7297,1123.6,2.56,53.0,0,0,0,0
6948054,CONFIRMED,36.2761238,201.2869,4.7865,1572.6,3.03,45.5,0,0,0,0
6948054,CONFIRMED,17.46087931,137.26594,2.2641,812.4,2.32,22.6,0,0,0,0
6435936,CONFIRMED,56.0560754,201.16578,4.685,1626.0,1.94,27.4,0,0,0,0
6522242,CONFIRMED,41.408316686,195.78745,5.0264,22838.9,11.38,907.8,0,0,0,0
6526710,CANDIDATE,39.74893077,172.854644,7.3051,15178.9,14.21,561.1,0,0,0,0
6587280,CONFIRMED,5.715425977,174.87931,2.5242,908.1,2.47,59.4,0,0,0,0
9471974,CONFIRMED,49.18394185,141.911924,11.3364,1646.2,8.2,355.7,0,0,0,0
6587280,CONFIRMED,20.0261412,146.91109,1.611,421.2,2.28,10.7,0,0,0,0
6599919,CANDIDATE,13.61014819,173.987319,2.594,5732.9,19.02,184.1,0,0,0,0
6675056,FALSE POSITIVE,10.44331991,175.4046,2.743,1159.8,2.66,51.7,0,1,1,1
6685526,CONFIRMED,2.237489571,170.81914,1.8119,315.8,1.41,30.7,0,0,0,0
